Source,Target,Weight
jerryzh168,swolchok,5
jansel,jerryzh168,3
colesbury,jerryzh168,4
desertfire,jerryzh168,3
huydhn,jerryzh168,8
angelayi,jerryzh168,4
jerryzh168,smessmer,4
eellison,jerryzh168,2
bdhirsh,jerryzh168,6
jerryzh168,kshitij12345,4
jerryzh168,vkuzo,8
jerryzh168,mlazos,1
jerryzh168,williamwen42,3
cyyever,soumith,3
cyyever,gchanan,3
anijain2305,cyyever,4
cyyever,peterbell10,3
apaszke,cyyever,3
cyyever,suo,4
Chillee,cyyever,4
cyyever,zdevito,4
cyyever,janeyx99,3
albanD,cyyever,4
cyyever,rohan-varma,3
cyyever,swolchok,3
cyyever,jansel,3
colesbury,cyyever,3
cyyever,desertfire,3
cyyever,huydhn,3
angelayi,cyyever,1
cyyever,smessmer,3
cyyever,eellison,3
bdhirsh,cyyever,4
cyyever,kshitij12345,4
cyyever,vkuzo,3
cyyever,mlazos,1
cyyever,williamwen42,1
gchanan,soumith,5
anijain2305,soumith,3
peterbell10,soumith,4
apaszke,soumith,5
soumith,suo,4
Chillee,soumith,4
soumith,zdevito,5
janeyx99,soumith,4
albanD,soumith,4
rohan-varma,soumith,5
soumith,swolchok,4
jansel,soumith,3
colesbury,soumith,5
desertfire,soumith,3
huydhn,soumith,3
angelayi,soumith,1
smessmer,soumith,4
eellison,soumith,4
bdhirsh,soumith,3
kshitij12345,soumith,4
soumith,vkuzo,4
mlazos,soumith,1
soumith,williamwen42,1
anijain2305,gchanan,3
gchanan,peterbell10,4
apaszke,gchanan,5
gchanan,suo,4
Chillee,gchanan,4
gchanan,zdevito,5
gchanan,janeyx99,4
albanD,gchanan,4
gchanan,rohan-varma,4
gchanan,swolchok,4
gchanan,jansel,3
colesbury,gchanan,5
desertfire,gchanan,3
gchanan,huydhn,3
angelayi,gchanan,1
gchanan,smessmer,4
eellison,gchanan,2
bdhirsh,gchanan,3
gchanan,kshitij12345,4
gchanan,vkuzo,4
gchanan,mlazos,1
gchanan,williamwen42,1
anijain2305,peterbell10,3
anijain2305,apaszke,3
anijain2305,suo,4
Chillee,anijain2305,4
anijain2305,zdevito,4
anijain2305,janeyx99,3
albanD,anijain2305,4
anijain2305,rohan-varma,3
anijain2305,swolchok,3
anijain2305,jansel,3
anijain2305,colesbury,3
anijain2305,desertfire,3
anijain2305,huydhn,3
angelayi,anijain2305,1
anijain2305,smessmer,3
anijain2305,eellison,3
anijain2305,bdhirsh,4
anijain2305,kshitij12345,4
anijain2305,vkuzo,3
anijain2305,mlazos,1
anijain2305,williamwen42,1
apaszke,peterbell10,4
peterbell10,suo,6
Chillee,peterbell10,5
peterbell10,zdevito,6
janeyx99,peterbell10,4
albanD,peterbell10,4
peterbell10,rohan-varma,4
peterbell10,swolchok,5
jansel,peterbell10,6
colesbury,peterbell10,4
desertfire,peterbell10,3
huydhn,peterbell10,3
angelayi,peterbell10,1
peterbell10,smessmer,4
eellison,peterbell10,2
bdhirsh,peterbell10,4
kshitij12345,peterbell10,5
peterbell10,vkuzo,4
mlazos,peterbell10,1
peterbell10,williamwen42,1
apaszke,suo,4
Chillee,apaszke,4
apaszke,zdevito,5
apaszke,janeyx99,4
